experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_185744,2026-06-24T09:57:44.462228Z,skeleton,RX3,19.416488,17.204651,15.0,12.041595,10.0,8.944272,9.219544,10.049876,11.0,12.0,12.0,13.038405,14.142136,13.341664,13.601471,13.0,11.7047,10.77033,8.544004,7.0,5.385165,7.071068,9.848858,11.7047,12.649111,14.866069,5.385165,5.385165,8.0,11.045361,15.033296,17.029386,19.026298,20.024984,21.095023,20.223748,19.416488,18.027756,15.811388,13.928388,11.7047,8.544004,7.28011,7.071068,7.615773,9.219544,12.041595,14.866069,16.970563,19.79899,21.260292,20.808652
20260624_185744,2026-06-24T09:57:44.488739Z,skeleton,RX1,24.33105,21.213203,16.278821,13.0,10.0,9.219544,10.440307,11.18034,12.041595,13.0,13.0,13.0,12.0,11.045361,10.198039,8.544004,9.219544,10.0,12.083046,13.928388,15.811388,17.088007,17.088007,15.231546,13.0,9.486833,8.544004,5.385165,2.236068,4.242641,8.602325,12.041595,16.278821,18.601075,19.723083,19.697716,18.973666,17.464249,15.297059,13.152946,11.045361,8.062258,5.385165,3.605551,5.0,8.944272,13.038405,17.888544,22.36068,25.079872,26.570661,26.925824
20260624_185744,2026-06-24T09:57:44.518958Z,skeleton,RX2,13.416408,16.552945,17.464249,18.788294,18.35756,17.492856,17.204651,15.620499,13.453624,11.313708,9.899495,7.81025,6.708204,6.082763,6.324555,9.433981,12.806248,14.866069,18.384776,21.931712,23.430749,24.207437,25.0,23.021729,21.095023,17.492856,9.848858,10.29563,11.18034,11.18034,10.29563,9.433981,9.219544,7.81025,7.211103,6.324555,7.071068,7.0,8.062258,8.062258,9.055385,10.049876,10.049876,11.045361,10.049876,11.045361,10.049876,10.049876,9.219544,8.944272,10.0,10.630146
20260624_185744,2026-06-24T09:57:44.551120Z,skeleton,RX3,12.529964,14.317821,14.764823,15.652476,14.764823,13.892444,13.038405,10.816654,9.433981,8.062258,6.708204,6.324555,6.0,6.082763,7.615773,10.29563,12.529964,13.416408,14.764823,16.552945,16.155494,17.088007,15.811388,13.601471,11.401754,9.486833,15.652476,16.552945,17.088007,15.811388,14.56022,12.369317,10.198039,7.615773,5.0,3.605551,5.09902,6.324555,7.615773,9.486833,10.77033,12.649111,13.341664,13.152946,14.035669,14.035669,14.0,13.038405,12.041595,10.198039,9.848858,10.630146
20260624_185744,2026-06-24T09:57:44.579416Z,skeleton,RX1,13.038405,16.124515,17.117243,18.027756,18.0,17.029386,15.033296,13.0,11.0,9.055385,8.246211,7.211103,7.81025,7.81025,9.433981,10.29563,9.848858,10.77033,9.486833,9.219544,8.0,8.544004,9.433981,11.401754,14.21267,15.0,12.206556,14.21267,15.620499,16.643317,15.652476,14.56022,11.18034,9.055385,5.09902,3.605551,3.0,5.0,7.211103,8.602325,10.29563,12.529964,14.317821,14.866069,15.524175,15.297059,14.317821,13.152946,11.401754,8.944272,7.071068,7.28011
20260624_185744,2026-06-24T09:57:44.612114Z,skeleton,RX2,17.204651,15.264338,12.206556,10.630146,7.81025,7.615773,8.0,10.049876,12.041595,13.038405,16.0,17.029386,18.248288,19.646883,20.615528,21.470911,20.59126,18.867962,16.643317,13.892444,9.848858,8.0,9.219544,12.206556,15.264338,18.35756,7.211103,7.28011,7.0,8.246211,9.848858,11.18034,12.529964,12.529964,13.892444,12.529964,12.529964,12.083046,9.848858,9.848858,8.944272,8.062258,7.211103,7.81025,7.81025,10.0,12.206556,14.21267,16.278821,18.439089,19.104973,19.209373
20260624_185744,2026-06-24T09:57:44.643251Z,skeleton,RX3,20.0,19.0,16.03122,14.142136,11.401754,9.848858,10.0,11.313708,11.313708,12.727922,14.142136,14.21267,15.0,15.264338,14.764823,14.317821,13.928388,11.7047,8.944272,7.211103,5.830952,7.071068,8.246211,10.440307,12.649111,13.928388,6.324555,6.403124,8.944272,11.7047,15.524175,17.720045,20.248457,20.615528,21.470911,21.095023,20.248457,19.209373,17.029386,15.556349,12.727922,10.630146,9.433981,8.944272,9.219544,11.045361,13.152946,16.278821,18.248288,21.213203,22.090722,23.086793
20260624_185744,2026-06-24T09:57:44.670707Z,skeleton,RX1,14.56022,17.720045,19.646883,19.924859,20.248457,18.384776,17.464249,15.231546,12.649111,11.401754,9.055385,9.055385,8.544004,8.944272,9.433981,11.401754,11.313708,11.313708,10.630146,9.433981,8.544004,9.055385,10.198039,12.649111,14.866069,15.811388,12.206556,14.317821,15.811388,17.262677,16.0,15.033296,12.369317,9.486833,6.324555,3.0,2.0,5.09902,7.28011,10.198039,12.165525,13.038405,15.033296,16.0,17.029386,17.117243,16.278821,15.132746,13.152946,10.0,8.544004,9.219544
20260624_185744,2026-06-24T09:57:44.700662Z,skeleton,RX2,17.117243,16.124515,13.038405,11.045361,9.486833,8.602325,10.630146,12.206556,14.21267,16.278821,17.691806,20.0,21.095023,22.36068,23.769729,23.086793,21.84033,20.396078,17.464249,14.866069,11.18034,8.602325,11.18034,14.035669,17.262677,21.377558,8.062258,8.485281,8.062258,9.486833,11.7047,12.369317,14.142136,15.132746,15.132746,13.341664,13.341664,12.369317,11.401754,10.198039,9.219544,9.055385,9.0,10.049876,10.198039,12.369317,14.317821,16.278821,19.104973,20.099751,21.0,21.023796
20260624_185744,2026-06-24T09:57:44.729623Z,skeleton,RX3,19.416488,17.464249,15.297059,13.152946,11.0,9.219544,9.848858,10.29563,10.816654,11.661904,12.529964,13.416408,13.0,13.601471,13.341664,13.152946,12.165525,10.198039,8.246211,6.708204,5.656854,6.324555,9.0,11.0,13.038405,14.035669,6.0,5.830952,7.81025,11.661904,14.764823,17.0,18.867962,20.808652,20.615528,21.213203,19.849433,18.601075,15.811388,13.892444,12.529964,10.816654,8.602325,7.81025,7.615773,9.219544,12.041595,15.0,18.027756,20.024984,21.095023,22.203603
20260624_185744,2026-06-24T09:57:44.764441Z,skeleton,RX1,14.422205,16.643317,18.867962,18.867962,19.235384,17.888544,15.652476,13.892444,11.661904,10.816654,9.219544,8.602325,8.944272,9.486833,10.440307,10.198039,11.045361,10.049876,10.0,9.055385,8.944272,9.219544,10.630146,13.038405,14.422205,15.811388,11.7047,14.142136,15.0,16.124515,15.524175,14.317821,11.661904,8.062258,5.385165,3.0,3.605551,5.385165,8.246211,9.486833,11.7047,13.0,14.764823,15.264338,16.401219,16.401219,15.620499,14.21267,12.206556,10.29563,9.219544,10.198039
20260624_185744,2026-06-24T09:57:44.790082Z,skeleton,RX2,12.727922,14.142136,15.556349,16.278821,17.029386,16.401219,15.264338,13.416408,12.083046,10.77033,9.486833,7.615773,5.830952,5.0,6.082763,8.062258,11.18034,13.601471,16.763055,19.646883,21.377558,22.36068,23.194827,21.095023,19.026298,16.0,9.848858,11.18034,12.529964,12.529964,11.661904,10.816654,10.0,9.219544,7.81025,7.211103,7.28011,7.071068,8.062258,8.062258,8.0,9.055385,9.055385,10.049876,10.198039,10.198039,10.198039,10.049876,9.0,9.055385,9.486833,9.433981
20260624_185744,2026-06-24T09:57:44.819155Z,skeleton,RX3,18.027756,16.643317,13.892444,11.18034,9.219544,9.0,9.219544,9.848858,10.77033,11.7047,12.649111,13.601471,13.341664,14.142136,13.038405,12.0,11.0,10.049876,8.0,5.385165,5.0,7.28011,9.055385,12.0,14.0,15.0,4.472136,6.082763,8.544004,11.661904,15.264338,17.492856,19.235384,20.615528,21.18962,19.924859,18.439089,17.117243,15.132746,13.038405,11.045361,8.062258,7.28011,6.403124,7.81025,9.848858,12.083046,14.866069,17.464249,20.615528,21.023796,20.59126
20260624_185744,2026-06-24T09:57:44.848620Z,skeleton,RX1,25.0,21.84033,17.720045,14.866069,11.661904,9.899495,10.29563,10.440307,11.18034,11.045361,12.0,12.0,12.0,11.045361,11.18034,10.77033,11.18034,12.806248,14.142136,14.866069,15.620499,15.620499,14.866069,13.453624,11.401754,8.944272,8.485281,5.656854,2.236068,3.605551,7.28011,11.7047,14.764823,17.204651,18.439089,19.849433,19.416488,17.492856,15.652476,13.928388,11.7047,8.544004,5.830952,3.605551,5.09902,8.062258,12.206556,16.401219,20.248457,24.186773,26.832816,27.313001
20260624_185744,2026-06-24T09:57:44.878875Z,skeleton,RX2,18.601075,16.643317,13.892444,10.0,7.81025,7.615773,8.0,10.049876,12.165525,14.142136,16.124515,18.0,20.024984,21.377558,22.803509,22.472205,22.847319,21.023796,18.35756,15.231546,11.401754,8.062258,9.219544,11.661904,16.155494,18.973666,6.708204,7.071068,8.0,8.246211,9.486833,11.18034,12.083046,12.529964,13.416408,13.0,12.083046,11.7047,9.848858,9.486833,8.544004,8.062258,7.211103,7.81025,9.219544,10.816654,12.206556,15.0,16.401219,19.209373,20.518285,20.518285
20260624_185744,2026-06-24T09:57:44.910682Z,skeleton,RX3,12.206556,12.806248,14.21267,15.0,15.0,13.601471,12.206556,10.29563,9.433981,8.062258,5.830952,4.242641,4.123106,5.0,6.082763,8.246211,10.440307,12.369317,14.56022,15.297059,16.278821,16.124515,15.033296,13.038405,12.0,9.055385,18.973666,19.313208,19.697716,18.788294,16.552945,14.764823,11.18034,8.544004,6.082763,4.472136,5.656854,6.708204,8.544004,10.440307,11.7047,13.0,13.416408,14.764823,15.264338,14.422205,14.422205,13.038405,11.661904,10.440307,9.055385,10.049876
