experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_160535,2026-06-25T07:05:35.145869Z,skeleton,RX1,17.0,17.888544,17.888544,16.552945,15.231546,13.0,10.29563,8.062258,5.656854,4.123106,4.472136,7.071068,10.0,12.206556,15.0,17.804494,20.615528,22.627417,22.671568,22.803509,21.633308,18.35756,14.764823,10.816654,6.403124,4.123106,6.082763,6.324555,7.28011,7.28011,7.615773,7.615773,6.708204,5.830952,5.656854,5.0,5.385165,6.082763,6.0,6.0,7.071068,7.0,7.071068,6.082763,5.09902,4.472136,4.242641,4.123106,6.082763,8.944272,11.661904,14.317821
20260625_160535,2026-06-25T07:05:35.174042Z,skeleton,RX2,22.671568,22.022716,19.849433,16.401219,12.041595,8.485281,4.472136,2.828427,6.082763,10.0,13.0,16.03122,18.027756,21.023796,24.0,25.0,26.019224,25.079872,24.186773,21.213203,17.262677,11.18034,6.0,2.236068,5.830952,10.630146,6.708204,5.0,3.162278,4.472136,7.81025,10.0,13.038405,15.0,16.401219,17.029386,16.970563,15.556349,13.453624,12.041595,9.219544,7.211103,3.605551,1.414214,1.0,4.472136,7.211103,10.816654,13.601471,16.401219,19.209373,21.260292
20260625_160535,2026-06-25T07:05:35.203791Z,skeleton,RX3,26.476405,24.515301,20.396078,16.492423,12.369317,7.28011,2.828427,2.236068,5.0,8.0,11.045361,13.038405,15.033296,16.124515,18.248288,18.248288,18.11077,17.117243,15.132746,12.041595,9.055385,6.0,2.236068,2.236068,6.082763,9.055385,3.0,1.0,5.0,8.062258,12.529964,14.317821,17.088007,17.720045,18.681542,18.681542,17.464249,15.297059,13.341664,11.401754,8.246211,5.385165,2.236068,1.414214,4.0,8.062258,12.165525,16.278821,20.396078,24.515301,27.45906,27.658633
20260625_160535,2026-06-25T07:05:35.234161Z,skeleton,RX1,18.973666,20.248457,20.615528,18.788294,17.464249,14.317821,12.083046,8.544004,6.082763,4.123106,4.472136,6.0,9.055385,12.165525,15.297059,18.248288,21.095023,23.021729,24.0,24.083189,22.203603,19.416488,15.524175,11.401754,6.082763,2.828427,5.0,5.830952,7.211103,7.211103,7.615773,6.708204,6.324555,6.082763,5.0,4.123106,5.830952,6.403124,6.403124,7.81025,7.81025,8.602325,8.602325,7.211103,7.211103,6.324555,5.0,5.385165,7.81025,9.433981,12.083046,15.231546
20260625_160535,2026-06-25T07:05:35.263283Z,skeleton,RX2,5.830952,9.848858,12.649111,14.56022,16.763055,17.720045,17.720045,16.763055,16.763055,14.56022,13.601471,11.401754,9.219544,6.082763,4.0,2.236068,4.472136,8.602325,11.401754,15.620499,17.804494,20.0,22.203603,21.633308,19.723083,17.888544,10.816654,13.038405,13.892444,14.764823,14.317821,13.0,11.7047,9.219544,6.082763,3.162278,2.0,4.0,6.082763,7.071068,9.055385,9.055385,10.049876,10.049876,10.049876,10.0,10.049876,8.062258,6.324555,4.472136,3.162278,21.070452500000002
20260625_160535,2026-06-25T07:05:35.294944Z,skeleton,RX3,27.892651,25.0,20.880613,16.492423,11.401754,7.28011,2.0,2.236068,5.09902,9.219544,11.401754,13.341664,15.297059,17.262677,18.248288,18.248288,18.248288,17.262677,15.297059,13.152946,9.219544,5.09902,1.0,3.162278,6.082763,9.219544,2.828427,2.236068,5.09902,9.0,13.038405,16.124515,18.248288,19.416488,19.646883,18.681542,17.720045,15.811388,13.601471,11.401754,8.246211,6.0,3.162278,2.236068,5.0,8.944272,13.0,18.027756,21.84033,25.298221,28.160256,29.12044
20260625_160535,2026-06-25T07:05:35.323329Z,skeleton,RX1,17.204651,18.027756,16.643317,16.643317,14.764823,12.529964,9.433981,7.211103,4.242641,3.0,4.242641,6.708204,9.486833,13.0,15.231546,17.464249,20.59126,22.472205,23.021729,22.022716,21.931712,18.384776,15.556349,10.630146,5.830952,4.123106,6.708204,6.708204,8.062258,8.062258,8.602325,7.211103,6.403124,5.656854,5.0,5.385165,6.0,6.0,7.071068,7.071068,8.246211,8.246211,8.246211,7.28011,6.324555,5.385165,4.242641,4.123106,5.385165,8.062258,10.816654,13.601471
20260625_160535,2026-06-25T07:05:35.353770Z,skeleton,RX2,23.086793,22.135944,19.313208,16.155494,12.649111,8.246211,4.0,3.162278,5.385165,9.433981,12.206556,15.264338,17.492856,20.59126,22.825424,23.259407,25.079872,24.698178,23.086793,19.924859,16.492423,11.7047,5.830952,4.0,7.071068,11.401754,6.082763,4.472136,3.162278,5.09902,8.544004,11.18034,14.317821,16.155494,17.720045,18.681542,17.464249,16.278821,14.142136,12.041595,10.049876,8.062258,5.09902,2.828427,2.236068,5.0,8.062258,10.77033,13.928388,17.088007,19.924859,20.880613
20260625_160535,2026-06-25T07:05:35.383641Z,skeleton,RX3,9.219544,12.649111,16.763055,18.973666,19.924859,20.248457,20.248457,18.027756,17.088007,15.231546,13.0,10.77033,7.615773,5.385165,2.0,1.414214,5.0,8.062258,11.18034,13.892444,15.652476,16.552945,17.888544,16.552945,15.652476,13.0,15.0,15.811388,16.124515,15.652476,14.317821,12.083046,9.486833,6.082763,2.0,1.414214,4.472136,6.708204,9.848858,11.18034,13.0,14.317821,15.652476,16.552945,17.888544,17.888544,17.0,16.124515,13.038405,9.433981,6.403124,2.0
20260625_160535,2026-06-25T07:05:35.413510Z,skeleton,RX1,17.029386,18.027756,19.0,17.0,15.033296,13.0,11.0,8.062258,5.385165,4.242641,5.09902,7.071068,9.486833,11.7047,15.231546,18.027756,21.18962,21.587033,23.537205,23.194827,21.023796,19.0,16.03122,11.045361,7.0,3.605551,5.09902,6.082763,7.0,7.0,7.0,6.0,6.0,5.09902,4.472136,4.242641,3.605551,4.472136,5.385165,6.324555,6.324555,7.28011,6.082763,6.082763,6.0,5.09902,4.472136,5.0,6.324555,9.055385,12.0,14.035669
