experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_205910,2026-06-24T11:59:10.631803Z,skeleton,RX2,9.433981,9.219544,9.0,11.18034,12.649111,14.56022,16.492423,17.262677,18.11077,19.0,19.026298,19.235384,19.416488,18.973666,18.027756,17.088007,15.811388,13.341664,12.0,11.401754,12.206556,15.556349,17.804494,19.416488,21.633308,23.021729,8.602325,10.816654,12.206556,13.892444,14.764823,14.317821,13.0,12.083046,10.77033,8.944272,8.602325,7.071068,7.211103,7.615773,8.544004,9.486833,10.77033,13.0,13.416408,15.264338,16.401219,17.029386,16.970563,16.278821,14.866069,12.727922
20260624_205910,2026-06-24T11:59:10.663081Z,skeleton,RX3,22.825424,19.723083,16.643317,13.038405,8.544004,6.082763,7.071068,10.29563,12.529964,16.552945,19.235384,21.954498,23.853721,26.400758,27.658633,28.319605,28.284271,26.870058,24.041631,19.849433,15.264338,12.165525,11.7047,14.866069,18.601075,21.095023,8.485281,10.0,10.816654,11.661904,11.18034,11.18034,10.29563,10.29563,8.944272,6.708204,5.830952,4.472136,3.0,3.0,3.605551,3.605551,5.385165,6.708204,8.944272,10.440307,13.152946,16.03122,19.026298,21.213203,22.803509,24.698178
20260624_205910,2026-06-24T11:59:10.691551Z,skeleton,RX1,26.248809,26.400758,25.806976,23.021729,19.416488,15.811388,11.401754,7.81025,3.605551,1.414214,4.0,7.071068,9.486833,12.649111,14.866069,17.088007,18.384776,20.248457,19.924859,18.973666,17.720045,14.317821,10.198039,5.0,5.0,17.029386,16.278821,14.866069,12.806248,9.899495,6.403124,3.0,5.0,8.246211,11.18034,14.142136,15.132746,16.278821,17.262677,18.248288,17.262677,16.278821,15.297059,13.341664,10.198039,6.0,2.828427,5.830952,10.630146,16.278821,21.213203,20.880613
20260624_205910,2026-06-24T11:59:10.722295Z,skeleton,RX2,7.81025,7.211103,8.246211,10.049876,12.0,14.0,15.132746,15.297059,16.763055,17.088007,17.888544,17.492856,18.027756,17.804494,17.029386,15.620499,14.21267,12.206556,10.77033,10.0,11.401754,13.892444,16.401219,19.209373,21.260292,22.671568,9.055385,11.045361,13.0,14.0,14.035669,14.035669,13.038405,12.041595,10.049876,9.0,8.062258,7.28011,7.211103,7.81025,8.485281,9.899495,11.313708,12.041595,12.806248,14.422205,14.764823,15.231546,14.866069,14.56022,13.341664,11.401754
20260624_205910,2026-06-24T11:59:10.753205Z,skeleton,RX3,13.341664,16.278821,18.11077,19.104973,20.024984,20.0,19.026298,18.11077,16.278821,14.317821,12.165525,10.049876,8.062258,6.708204,7.81025,9.848858,13.341664,17.029386,21.023796,24.0,26.0,27.018512,27.018512,25.019992,22.022716,19.026298,6.708204,7.28011,7.071068,7.0,7.071068,6.324555,6.708204,6.403124,6.403124,7.071068,7.071068,7.071068,7.071068,6.403124,7.211103,7.615773,7.28011,7.071068,7.0,6.0,6.082763,5.09902,3.0,2.236068,3.162278,6.082763
20260624_205910,2026-06-24T11:59:10.781174Z,skeleton,RX1,8.544004,4.242641,3.605551,7.211103,10.77033,13.928388,15.524175,16.492423,16.492423,16.278821,15.297059,14.142136,13.152946,11.045361,9.055385,6.082763,3.0,4.123106,8.062258,12.165525,15.297059,18.439089,19.924859,18.973666,18.384776,2.828427,6.403124,10.630146,14.142136,16.278821,17.804494,18.601075,18.601075,17.204651,15.264338,13.038405,9.433981,6.403124,3.605551,1.414214,3.0,7.28011,10.440307,14.56022,17.720045,19.924859,22.803509,22.803509,23.537205,21.377558,18.439089,20.880613
20260624_205910,2026-06-24T11:59:10.811669Z,skeleton,RX2,7.071068,7.615773,9.055385,12.041595,13.0,15.033296,16.124515,17.262677,17.720045,18.027756,17.888544,18.35756,18.027756,17.804494,16.401219,15.620499,13.601471,12.529964,10.440307,10.049876,11.7047,13.601471,17.029386,19.79899,21.931712,22.627417,9.055385,11.045361,12.165525,13.152946,14.317821,14.317821,13.341664,12.369317,10.198039,9.055385,8.062258,7.28011,7.615773,8.602325,9.219544,10.630146,11.401754,13.038405,13.892444,14.764823,15.231546,15.811388,15.524175,14.56022,12.649111,10.77033
20260624_205910,2026-06-24T11:59:10.843351Z,skeleton,RX3,19.723083,18.867962,15.0,10.816654,7.28011,6.082763,6.403124,9.433981,13.416408,16.124515,18.867962,20.808652,23.430749,24.758837,26.907248,27.018512,27.202941,25.0,21.400935,19.104973,14.422205,12.369317,13.341664,15.811388,19.849433,22.627417,9.899495,10.0,10.816654,11.661904,11.18034,11.18034,10.77033,8.944272,8.544004,6.708204,5.09902,4.0,3.0,3.162278,3.605551,5.0,6.403124,7.211103,8.544004,11.401754,13.152946,16.0,18.027756,20.396078,23.086793,21.540659
20260624_205910,2026-06-24T11:59:10.871155Z,skeleton,RX1,26.570661,26.925824,26.0,23.769729,20.124612,16.552945,12.083046,7.615773,4.123106,1.414214,3.605551,6.403124,10.0,12.206556,14.422205,16.643317,18.867962,19.416488,20.248457,18.601075,16.401219,13.601471,8.602325,4.472136,1.0,5.385165,14.764823,15.264338,13.601471,11.401754,8.602325,5.0,2.236068,4.0,7.28011,10.440307,12.649111,14.56022,15.811388,16.763055,17.720045,16.763055,16.492423,14.56022,13.341664,9.486833,5.830952,2.236068,5.830952,10.440307,16.492423,20.880613
20260624_205910,2026-06-24T11:59:10.903186Z,skeleton,RX2,7.211103,8.246211,9.055385,11.0,13.038405,14.0,15.033296,15.297059,16.763055,17.088007,17.0,16.643317,16.401219,16.278821,16.278821,14.866069,13.453624,11.401754,9.848858,9.055385,10.440307,12.529964,16.401219,18.439089,21.260292,22.022716,9.055385,11.045361,13.038405,14.0,15.0,15.0,14.0,13.0,12.0,11.045361,9.219544,8.544004,8.062258,8.602325,9.219544,9.899495,10.630146,12.041595,12.806248,13.601471,14.422205,14.764823,14.764823,13.416408,11.661904,10.0
20260624_205910,2026-06-24T11:59:10.933682Z,skeleton,RX3,17.464249,15.652476,13.416408,9.848858,6.082763,5.385165,6.403124,8.944272,11.7047,14.317821,16.552945,18.35756,20.808652,22.022716,22.671568,22.627417,22.671568,21.260292,19.104973,14.866069,12.529964,10.049876,11.7047,14.422205,16.970563,19.849433,8.062258,8.544004,9.486833,9.219544,10.198039,10.198039,9.055385,9.055385,8.062258,6.082763,6.0,4.0,3.162278,3.162278,3.605551,4.242641,5.656854,6.403124,8.602325,9.848858,11.7047,14.317821,16.124515,18.0,19.235384,19.646883
20260624_205910,2026-06-24T11:59:10.961388Z,skeleton,RX1,29.832868,30.805844,28.635642,24.515301,20.615528,16.492423,11.401754,6.324555,3.162278,2.236068,5.0,8.062258,10.816654,13.601471,16.401219,17.029386,19.104973,19.104973,18.384776,16.970563,14.866069,10.630146,6.403124,1.0,4.242641,9.219544,16.03122,16.0,15.0,12.0,9.055385,5.0,1.0,3.0,7.071068,10.049876,13.038405,15.033296,16.0,16.0,16.0,16.0,15.033296,14.0,11.0,7.0,3.162278,2.828427,8.544004,14.56022,20.880613,24.738634
20260624_205910,2026-06-24T11:59:10.991800Z,skeleton,RX2,11.7047,12.529964,12.529964,13.892444,13.892444,14.764823,14.317821,14.866069,14.317821,15.132746,14.035669,14.035669,14.142136,13.341664,13.601471,12.649111,12.649111,10.198039,10.049876,9.486833,10.29563,12.206556,14.866069,17.691806,19.104973,19.849433,9.055385,11.18034,13.152946,13.152946,14.317821,14.317821,14.317821,13.341664,13.152946,12.165525,11.045361,11.0,10.049876,10.049876,10.198039,11.18034,11.18034,12.041595,12.041595,13.038405,13.0,14.0,14.0,13.038405,13.038405,12.165525
20260624_205910,2026-06-24T11:59:11.022969Z,skeleton,RX3,12.0,15.033296,17.117243,18.439089,18.681542,18.973666,17.464249,16.552945,13.892444,13.038405,10.29563,8.944272,7.28011,6.082763,6.403124,10.0,13.416408,16.552945,20.615528,22.847319,25.079872,26.400758,25.495098,24.166092,21.931712,18.384776,8.062258,8.544004,8.544004,8.246211,8.062258,7.071068,7.28011,7.615773,6.708204,7.211103,7.211103,7.211103,6.708204,6.708204,6.324555,6.082763,6.0,6.082763,6.082763,5.385165,5.385165,3.605551,2.236068,1.414214,4.123106,6.0
20260624_205910,2026-06-24T11:59:11.051149Z,skeleton,RX1,5.830952,4.0,7.211103,11.401754,14.21267,16.401219,17.204651,17.204651,17.204651,16.643317,14.422205,13.601471,11.661904,8.944272,7.615773,4.123106,2.236068,4.123106,7.211103,10.816654,14.422205,17.204651,19.416488,20.248457,19.723083,18.35756,3.605551,5.830952,8.602325,11.401754,13.453624,14.142136,14.866069,14.21267,12.806248,10.630146,8.602325,5.656854,2.828427,1.0,3.0,6.324555,9.486833,12.369317,15.524175,18.439089,20.396078,21.377558,22.203603,21.095023,18.027756,15.033296
20260624_205910,2026-06-24T11:59:11.086439Z,skeleton,RX2,10.198039,10.440307,11.7047,13.0,13.928388,14.866069,14.56022,15.132746,15.033296,15.033296,15.297059,14.56022,13.928388,13.416408,12.529964,11.18034,9.848858,8.246211,7.071068,8.062258,10.630146,12.806248,15.620499,17.029386,19.104973,19.79899,10.0,11.401754,12.806248,14.21267,14.21267,14.21267,13.453624,12.727922,12.041595,10.630146,10.816654,10.29563,9.848858,10.77033,10.440307,11.401754,11.7047,12.649111,13.0,13.0,13.416408,13.416408,12.529964,12.083046,10.77033,10.198039
20260624_205910,2026-06-24T11:59:11.111761Z,skeleton,RX3,17.088007,15.652476,13.416408,9.848858,7.28011,6.0,5.830952,7.81025,10.0,12.806248,15.620499,16.970563,18.439089,20.0,21.095023,22.825424,21.931712,20.615528,18.788294,16.124515,13.601471,11.401754,11.18034,13.038405,15.524175,18.027756,9.219544,10.049876,10.0,11.045361,11.18034,12.165525,11.18034,10.198039,10.198039,8.246211,7.28011,6.324555,5.09902,4.472136,4.472136,5.0,5.656854,6.403124,7.81025,9.433981,11.7047,13.601471,15.132746,17.029386,18.11077,18.248288
20260624_205910,2026-06-24T11:59:11.141264Z,skeleton,RX1,7.28011,5.830952,8.0,11.045361,14.317821,16.278821,17.464249,18.439089,17.262677,17.262677,16.124515,14.142136,13.152946,11.18034,8.246211,5.385165,3.605551,5.09902,8.602325,11.401754,15.0,17.804494,20.0,21.095023,20.124612,18.384776,4.242641,5.830952,8.544004,10.440307,11.7047,12.649111,13.928388,13.0,12.083046,10.77033,9.486833,7.28011,5.09902,4.123106,3.605551,5.09902,7.0,10.049876,13.152946,16.03122,18.027756,20.0,21.023796,20.099751,18.11077,15.132746
20260624_205910,2026-06-24T11:59:11.171743Z,skeleton,RX2,7.211103,9.219544,12.206556,15.0,16.401219,18.439089,18.384776,18.439089,18.601075,18.35756,17.464249,16.763055,15.524175,15.297059,13.152946,11.045361,8.062258,5.385165,4.123106,6.708204,10.0,14.21267,17.804494,21.400935,23.021729,23.853721,12.529964,14.317821,15.231546,16.155494,16.763055,16.492423,15.132746,14.035669,12.041595,11.401754,11.18034,10.816654,11.313708,12.041595,12.806248,13.601471,15.0,15.620499,17.029386,16.278821,15.556349,15.556349,13.453624,12.727922,9.899495,7.211103
20260624_205910,2026-06-24T11:59:11.202780Z,skeleton,RX3,20.124612,16.643317,14.422205,10.816654,7.615773,6.0,6.403124,9.219544,11.401754,14.21267,17.029386,19.104973,20.615528,23.021729,23.706539,24.166092,23.769729,23.4094,20.248457,17.888544,14.422205,13.038405,13.152946,16.124515,18.681542,21.18962,9.486833,10.198039,11.0,12.041595,12.165525,13.152946,13.341664,12.165525,11.18034,9.219544,8.062258,7.071068,5.385165,4.472136,5.0,5.0,5.656854,6.403124,8.602325,10.29563,12.083046,14.317821,17.029386,19.026298,20.223748,21.84033
20260624_205910,2026-06-24T11:59:11.233135Z,skeleton,RX1,30.0,30.610456,29.0,26.172505,22.022716,17.804494,12.206556,7.81025,3.605551,2.828427,6.082763,9.055385,12.041595,15.132746,17.262677,19.416488,20.615528,21.18962,20.615528,17.888544,14.764823,10.816654,6.708204,2.0,4.123106,8.544004,14.21267,14.142136,14.142136,12.041595,10.0,8.944272,8.062258,8.246211,9.848858,12.206556,13.453624,14.866069,16.278821,16.278821,16.278821,17.029386,16.278821,15.620499,13.453624,11.313708,8.062258,6.0,9.219544,13.601471,19.723083,24.186773
20260624_205910,2026-06-24T11:59:11.263146Z,skeleton,RX2,22.090722,21.213203,19.416488,16.492423,14.56022,11.7047,8.246211,6.082763,4.0,3.605551,4.472136,6.324555,8.246211,11.18034,13.152946,15.297059,17.464249,19.646883,20.880613,20.880613,20.880613,19.924859,18.027756,15.811388,13.341664,10.049876,7.0,5.09902,5.830952,5.830952,7.28011,8.062258,10.0,11.045361,12.041595,12.041595,12.041595,11.045361,10.049876,8.062258,7.071068,5.385165,5.0,4.472136,5.09902,8.062258,10.198039,13.152946,16.278821,18.11077,20.024984,21.0
20260624_205910,2026-06-24T11:59:11.291410Z,skeleton,RX3,18.11077,14.142136,12.041595,9.0,6.708204,6.403124,8.544004,11.18034,13.341664,15.297059,17.720045,19.313208,21.023796,22.825424,21.633308,22.203603,20.615528,19.849433,16.401219,13.416408,10.198039,10.440307,11.401754,15.620499,18.601075,20.248457,9.486833,10.198039,12.041595,13.0,13.038405,13.038405,13.152946,12.165525,11.045361,9.219544,8.062258,6.324555,5.385165,5.0,5.656854,5.656854,7.211103,7.81025,9.899495,12.041595,13.892444,15.652476,16.763055,19.416488,20.099751,21.0
