experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_190638,2026-06-25T10:06:38.066914Z,skeleton,RX3,9.848858,12.649111,15.811388,17.720045,18.973666,18.681542,17.720045,16.492423,14.317821,12.165525,10.049876,8.062258,6.0,4.123106,3.162278,3.162278,5.656854,7.81025,10.816654,12.529964,13.416408,15.231546,15.652476,14.317821,14.317821,12.083046,14.317821,16.155494,15.811388,15.297059,14.142136,12.0,8.0,5.09902,1.414214,2.236068,6.082763,9.0,11.0,13.038405,14.035669,16.03122,16.03122,17.029386,18.027756,18.027756,17.029386,15.0,12.0,9.0,4.123106,2.0
20260625_190638,2026-06-25T10:06:38.096408Z,skeleton,RX1,17.804494,14.142136,9.219544,4.472136,3.162278,7.615773,11.661904,15.0,17.804494,19.849433,21.260292,21.931712,21.931712,21.213203,19.849433,17.029386,13.601471,9.486833,6.324555,8.246211,13.341664,18.384776,23.259407,27.784888,29.681644,29.410882,7.615773,6.324555,5.0,4.472136,4.472136,7.0,9.219544,11.401754,12.649111,13.0,13.0,12.083046,10.29563,8.062258,5.830952,3.605551,1.0,4.123106,7.615773,11.7047,15.652476,19.235384,21.954498,24.698178,25.238859,24.413111
20260625_190638,2026-06-25T10:06:38.126701Z,skeleton,RX2,27.018512,27.018512,22.803509,20.0,15.811388,11.401754,7.211103,2.828427,3.605551,5.830952,8.062258,10.29563,12.206556,13.601471,14.21267,16.401219,15.620499,15.620499,14.21267,12.806248,10.816654,7.615773,4.0,2.236068,4.472136,9.219544,5.09902,2.0,2.828427,7.071068,10.630146,14.21267,17.029386,19.104973,19.79899,19.104973,18.384776,16.970563,15.556349,12.727922,10.630146,7.81025,5.0,2.0,3.162278,6.403124,11.401754,15.620499,20.615528,23.430749,25.612497,7.211103
20260625_190638,2026-06-25T10:06:38.159153Z,skeleton,RX3,10.29563,13.892444,16.552945,17.888544,17.888544,17.888544,16.552945,14.866069,12.649111,11.401754,9.219544,7.071068,5.0,2.236068,1.0,2.828427,5.0,6.708204,8.544004,10.440307,12.369317,12.369317,13.152946,12.041595,12.041595,10.049876,14.035669,16.278821,16.492423,15.811388,13.416408,11.661904,8.485281,5.830952,3.162278,4.472136,7.071068,9.055385,11.18034,13.341664,14.56022,15.524175,16.763055,16.492423,16.492423,16.492423,15.297059,13.341664,11.045361,7.071068,3.162278,2.236068
20260625_190638,2026-06-25T10:06:38.186667Z,skeleton,RX1,19.416488,22.203603,22.803509,22.803509,20.615528,19.849433,17.029386,14.142136,10.630146,7.071068,4.242641,2.828427,7.071068,11.313708,14.866069,19.104973,20.615528,22.803509,23.853721,22.472205,20.59126,17.888544,12.649111,8.062258,4.123106,8.246211,9.219544,11.18034,11.045361,11.045361,9.055385,8.062258,6.0,3.0,2.236068,2.236068,5.0,6.403124,8.602325,10.0,10.816654,10.816654,10.816654,10.29563,9.848858,8.544004,6.0,3.605551,5.0,8.246211,12.529964,25.0615155
20260625_190638,2026-06-25T10:06:38.218729Z,skeleton,RX2,2.0,6.708204,9.433981,12.206556,14.422205,15.0,15.0,14.866069,14.21267,13.453624,11.313708,10.630146,9.219544,6.403124,5.0,2.828427,1.0,2.0,5.09902,8.544004,10.77033,13.0,15.231546,16.552945,16.552945,16.124515,17.804494,19.849433,21.931712,21.931712,21.931712,19.849433,17.204651,13.601471,9.433981,5.830952,1.0,2.236068,5.0,8.062258,10.816654,12.206556,15.0,16.401219,17.804494,17.804494,18.439089,17.691806,16.278821,13.453624,10.630146,7.211103
20260625_190638,2026-06-25T10:06:38.246885Z,skeleton,RX3,21.470911,18.788294,14.764823,10.816654,7.071068,3.162278,2.828427,5.385165,7.071068,9.0,11.045361,12.165525,13.152946,14.317821,14.56022,14.866069,14.866069,14.317821,13.416408,11.661904,9.433981,7.81025,5.0,3.162278,3.605551,4.472136,4.0,4.472136,7.0,10.198039,14.317821,16.124515,18.601075,19.849433,19.104973,19.104973,17.029386,15.620499,12.806248,10.816654,7.81025,5.0,1.414214,1.0,4.123106,8.944272,12.083046,16.124515,19.235384,22.36068,23.706539,23.706539
20260625_190638,2026-06-25T10:06:38.276628Z,skeleton,RX1,20.615528,16.763055,12.083046,9.219544,7.28011,9.219544,10.816654,14.21267,16.278821,18.384776,19.79899,20.518285,21.260292,20.615528,20.808652,18.35756,14.764823,10.440307,5.09902,1.414214,8.246211,14.035669,20.024984,24.186773,26.683328,27.856777,8.062258,7.28011,6.708204,6.403124,6.708204,8.246211,10.049876,12.041595,13.038405,14.035669,14.035669,13.038405,11.045361,9.0,7.071068,5.385165,5.0,7.071068,10.049876,14.317821,17.464249,20.880613,24.738634,25.70992,25.70992,25.70992
20260625_190638,2026-06-25T10:06:38.307116Z,skeleton,RX2,2.236068,5.830952,8.944272,10.77033,12.649111,13.601471,13.341664,13.341664,12.165525,12.041595,11.045361,9.0,8.0,7.071068,5.09902,4.0,1.0,1.414214,4.242641,7.211103,10.29563,13.416408,15.652476,17.088007,17.088007,15.524175,19.235384,21.377558,23.769729,24.041631,23.086793,21.18962,18.384776,13.928388,9.848858,5.385165,2.0,1.414214,5.0,7.211103,10.29563,12.529964,13.892444,15.652476,16.552945,16.552945,17.464249,16.155494,14.866069,12.649111,9.219544,6.082763
20260625_190638,2026-06-25T10:06:38.337677Z,skeleton,RX3,12.041595,14.142136,16.970563,18.384776,18.384776,16.970563,16.278821,14.866069,13.601471,11.661904,9.433981,7.615773,6.082763,5.0,4.472136,4.472136,5.09902,7.0,8.062258,9.486833,10.77033,11.18034,11.18034,11.661904,10.816654,9.433981,16.552945,17.720045,17.464249,17.117243,15.0,12.041595,8.246211,4.472136,2.0,3.162278,7.0,9.055385,11.401754,13.601471,14.866069,15.811388,15.811388,16.155494,16.155494,15.231546,13.928388,11.7047,9.486833,6.082763,3.162278,4.123106
