experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_174448,2026-06-24T08:44:48.066226Z,skeleton,RX3,15.0,12.0,9.0,7.071068,4.472136,5.0,6.324555,8.246211,10.440307,11.7047,13.416408,13.892444,15.0,15.556349,16.401219,16.643317,16.124515,14.764823,12.083046,9.433981,7.071068,6.082763,7.28011,9.433981,10.816654,13.038405,15.811388,16.552945,17.720045,19.416488,20.223748,21.095023,21.095023,20.099751,18.11077,16.03122,14.035669,12.0,10.049876,9.055385,7.28011,6.708204,7.81025,9.219544,11.313708,13.453624,15.0,17.204651,18.35756,19.235384,18.973666,18.439089
20260624_174448,2026-06-24T08:44:48.094490Z,skeleton,RX1,29.206164,27.802878,26.400758,21.400935,16.401219,12.206556,7.211103,2.236068,2.0,6.082763,10.198039,13.152946,16.124515,19.104973,21.095023,23.086793,24.020824,24.020824,23.0,20.024984,16.0,12.0,6.0,1.414214,4.123106,8.062258,13.0,11.7047,9.486833,6.082763,3.162278,3.0,5.656854,9.219544,12.206556,14.422205,15.811388,16.643317,16.643317,15.811388,14.422205,12.206556,10.816654,8.602325,4.472136,1.414214,4.472136,10.0,15.0,20.0,25.0,27.802878
20260624_174448,2026-06-24T08:44:48.126358Z,skeleton,RX2,11.045361,14.0,17.029386,18.11077,19.104973,18.248288,17.464249,15.524175,14.56022,11.401754,10.198039,8.062258,6.082763,5.656854,7.28011,11.045361,14.0,18.11077,21.213203,23.345235,25.317978,25.495098,24.515301,22.561028,19.646883,15.811388,15.264338,14.764823,14.764823,12.529964,10.29563,6.708204,3.162278,1.0,3.605551,6.324555,8.246211,10.198039,11.045361,12.0,13.038405,13.152946,13.341664,13.928388,13.0,12.529964,11.401754,10.0,7.211103,4.472136,3.0,4.123106
20260624_174448,2026-06-24T08:44:48.154386Z,skeleton,RX3,14.317821,12.083046,8.944272,7.211103,5.830952,6.082763,8.0,10.0,11.0,13.038405,14.142136,15.524175,16.763055,17.0,17.492856,17.204651,17.029386,14.866069,12.727922,10.0,7.615773,7.071068,8.062258,9.899495,12.041595,13.453624,15.033296,17.0,19.104973,20.396078,21.587033,20.880613,20.880613,19.924859,18.973666,17.088007,14.866069,12.083046,10.29563,9.433981,8.485281,8.602325,9.433981,11.18034,12.529964,14.764823,16.124515,18.027756,18.439089,19.104973,19.209373,18.027756
20260624_174448,2026-06-24T08:44:48.186371Z,skeleton,RX1,2.0,6.324555,9.486833,13.0,15.231546,17.088007,17.088007,16.763055,16.492423,15.297059,14.317821,12.165525,10.049876,7.071068,5.09902,2.236068,2.236068,5.385165,9.219544,13.341664,15.524175,18.681542,19.646883,19.646883,18.681542,16.492423,6.708204,9.848858,12.083046,14.317821,15.231546,14.866069,14.866069,12.649111,11.401754,8.246211,6.082763,4.0,2.236068,3.162278,5.830952,7.81025,9.899495,12.727922,14.142136,16.278821,17.029386,17.029386,16.278821,14.866069,12.041595,7.071068
20260624_174448,2026-06-24T08:44:48.214539Z,skeleton,RX2,19.235384,17.492856,14.764823,9.848858,7.071068,5.385165,6.403124,8.544004,10.440307,12.369317,14.56022,16.763055,17.720045,19.313208,19.313208,19.313208,18.788294,17.088007,14.56022,10.198039,7.28011,6.403124,9.0,12.369317,15.811388,18.384776,5.385165,8.246211,12.369317,15.524175,17.464249,19.646883,20.880613,20.248457,19.313208,16.552945,15.652476,12.529964,9.433981,7.211103,4.242641,2.236068,1.0,4.123106,6.082763,9.055385,13.0,15.033296,18.248288,19.416488,20.880613,21.540659
20260624_174448,2026-06-24T08:44:48.246883Z,skeleton,RX3,15.033296,16.0,17.117243,17.262677,17.720045,16.155494,15.652476,13.038405,11.401754,9.219544,7.81025,6.403124,5.385165,5.0,5.385165,7.211103,11.401754,13.601471,15.0,18.027756,18.867962,19.235384,18.788294,17.464249,14.866069,11.7047,15.811388,16.492423,16.278821,16.124515,15.0,14.142136,12.649111,12.083046,12.206556,12.727922,13.453624,13.453624,13.453624,13.453624,13.453624,13.453624,12.806248,12.206556,11.401754,10.816654,10.0,8.485281,6.403124,7.615773,9.055385,11.045361
20260624_174448,2026-06-24T08:44:48.276156Z,skeleton,RX1,2.236068,5.830952,9.848858,12.649111,14.866069,16.155494,16.552945,16.552945,16.124515,15.264338,14.422205,12.206556,10.0,7.81025,5.0,2.236068,1.0,5.385165,8.602325,11.661904,15.264338,17.492856,18.35756,18.867962,17.492856,16.124515,7.211103,9.433981,11.661904,13.892444,14.422205,15.0,13.601471,12.806248,10.0,7.81025,5.656854,3.162278,1.414214,3.0,6.0,8.246211,10.198039,13.152946,14.142136,16.124515,17.117243,17.117243,16.124515,14.142136,12.165525,7.28011
20260624_174448,2026-06-24T08:44:48.304962Z,skeleton,RX2,8.062258,11.045361,14.035669,15.0,16.0,16.03122,15.033296,14.142136,12.165525,10.198039,8.062258,6.0,4.123106,3.162278,5.09902,8.544004,11.661904,15.264338,18.601075,20.808652,22.803509,22.803509,22.803509,21.260292,18.384776,14.21267,12.529964,12.529964,12.529964,10.29563,8.062258,4.472136,1.414214,1.0,4.123106,6.324555,9.219544,10.049876,11.045361,12.0,12.041595,13.152946,12.369317,12.649111,13.0,12.529964,10.816654,10.0,7.81025,5.0,3.162278,2.236068
20260624_174448,2026-06-24T08:44:48.336783Z,skeleton,RX3,16.278821,13.341664,10.198039,8.062258,7.28011,7.211103,8.485281,9.899495,11.313708,12.806248,14.422205,15.264338,16.155494,16.763055,17.262677,17.117243,16.0,16.0,13.0,11.045361,9.219544,7.81025,8.602325,10.77033,12.369317,14.317821,14.422205,15.652476,16.763055,18.439089,19.235384,20.223748,20.223748,20.223748,19.104973,17.117243,16.124515,14.142136,11.0,11.0,9.055385,9.219544,9.486833,10.77033,12.529964,14.764823,15.231546,17.088007,18.681542,19.235384,20.024984,19.0
20260624_174448,2026-06-24T08:44:48.367282Z,skeleton,RX1,25.495098,25.495098,22.36068,19.723083,14.764823,10.816654,5.830952,2.0,2.0,5.09902,8.246211,11.401754,13.601471,16.278821,18.248288,20.099751,21.023796,21.023796,20.0,19.0,16.0,12.0,7.0,3.162278,2.828427,5.830952,11.18034,9.848858,8.544004,7.071068,4.472136,4.472136,7.071068,9.486833,12.083046,14.317821,15.231546,16.155494,15.231546,15.231546,13.928388,12.649111,10.77033,8.544004,5.0,3.162278,4.242641,8.944272,13.0,18.027756,21.540659,25.079872
