experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_180643,2026-06-24T18:06:43.226781+09:00,skeleton,RX2,10.816654,12.806248,14.21267,15.620499,15.620499,15.0,13.601471,12.206556,10.816654,9.219544,7.81025,7.211103,6.324555,7.0,9.219544,11.401754,14.866069,17.088007,18.973666,20.880613,20.880613,20.615528,19.416488,16.492423,13.341664,10.198039,16.124515,16.643317,18.027756,17.204651,16.401219,14.21267,10.630146,7.211103,4.472136,2.236068,4.123106,6.0,8.0,9.055385,10.049876,12.165525,12.649111,13.0,13.416408,13.038405,12.206556,11.401754,10.816654,8.944272,8.246211,8.062258
20260624_180643,2026-06-24T18:06:43.250661+09:00,skeleton,RX3,12.165525,15.132746,17.464249,18.681542,18.973666,18.973666,17.464249,15.652476,13.416408,11.18034,8.944272,6.324555,4.0,2.828427,5.09902,8.062258,11.18034,14.56022,16.763055,18.973666,19.924859,20.248457,18.973666,17.088007,15.231546,12.083046,16.278821,15.297059,14.142136,12.041595,9.0,6.082763,3.605551,4.123106,6.403124,9.219544,10.630146,13.453624,14.142136,14.142136,14.866069,15.0,15.0,14.764823,14.764823,13.0,11.401754,9.219544,6.082763,3.162278,1.0,5.0
20260624_180643,2026-06-24T18:06:43.280741+09:00,skeleton,RX1,5.0,7.071068,10.049876,13.038405,15.0,15.033296,16.124515,15.297059,15.297059,13.601471,11.7047,9.848858,7.615773,6.324555,4.0,4.242641,6.082763,9.0,12.041595,15.033296,17.117243,19.026298,19.026298,18.0,17.0,15.033296,8.602325,10.816654,13.038405,15.264338,15.811388,17.204651,15.811388,13.601471,11.661904,9.433981,7.615773,5.09902,5.385165,5.0,7.211103,8.944272,10.77033,13.0,15.231546,15.652476,17.0,16.124515,16.124515,14.422205,11.661904,8.544004
20260624_180643,2026-06-24T18:06:43.310837+09:00,skeleton,RX2,20.880613,19.924859,16.763055,15.231546,13.038405,11.313708,11.401754,12.529964,13.416408,15.231546,16.552945,17.0,17.492856,18.601075,17.804494,17.029386,16.278821,14.21267,11.661904,9.486833,9.055385,10.816654,13.453624,16.278821,19.104973,20.518285,4.123106,4.242641,7.071068,11.045361,15.033296,18.11077,20.099751,21.377558,21.587033,21.18962,19.313208,17.888544,15.264338,13.038405,10.816654,8.062258,6.324555,5.0,5.385165,8.062258,11.401754,13.601471,16.643317,19.235384,21.931712,21.931712
20260624_180643,2026-06-24T18:06:43.340863+09:00,skeleton,RX3,14.317821,17.0,19.416488,20.808652,21.400935,20.615528,19.104973,16.278821,14.866069,12.727922,9.899495,6.403124,4.472136,2.828427,5.09902,8.0,12.041595,15.132746,18.439089,20.615528,22.561028,21.84033,20.880613,18.973666,16.155494,13.0,17.204651,16.401219,14.866069,12.727922,9.219544,6.708204,3.162278,4.123106,7.071068,10.440307,12.369317,14.56022,15.524175,16.492423,17.262677,17.262677,17.117243,16.03122,15.0,14.035669,12.165525,9.219544,7.28011,2.236068,2.0,5.385165
20260624_180643,2026-06-24T18:06:43.370276+09:00,skeleton,RX1,6.324555,8.485281,10.816654,13.038405,14.422205,15.811388,16.401219,14.866069,14.866069,12.806248,11.401754,10.0,7.81025,6.403124,4.472136,5.09902,7.211103,9.219544,12.041595,14.866069,17.029386,17.691806,19.104973,17.691806,16.278821,14.21267,7.071068,9.899495,12.727922,14.142136,14.866069,14.866069,14.21267,12.806248,10.630146,9.219544,6.403124,5.385165,4.0,5.0,7.071068,8.485281,10.630146,12.041595,13.453624,15.556349,15.620499,16.401219,15.0,14.21267,11.401754,7.81025
20260624_180643,2026-06-24T18:06:43.402195+09:00,skeleton,RX2,19.723083,17.492856,15.264338,12.529964,10.440307,10.049876,10.049876,10.440307,11.7047,13.0,13.928388,14.56022,15.524175,16.124515,16.124515,15.033296,15.0,12.041595,10.198039,8.062258,8.602325,10.198039,13.038405,16.0,18.0,19.0,5.830952,4.123106,6.324555,9.433981,13.038405,15.811388,18.027756,19.723083,20.124612,18.788294,18.027756,16.492423,13.152946,11.045361,9.055385,7.071068,5.09902,4.242641,4.472136,7.071068,9.055385,12.165525,15.297059,17.720045,19.313208,20.124612
20260624_180643,2026-06-24T18:06:43.430908+09:00,skeleton,RX3,14.21267,17.029386,19.104973,21.213203,21.213203,21.260292,19.209373,17.204651,15.264338,13.038405,9.433981,8.602325,5.656854,3.162278,4.242641,7.615773,10.440307,14.317821,17.117243,19.104973,20.099751,20.099751,19.104973,17.029386,14.0,11.045361,16.278821,15.620499,15.0,12.206556,9.433981,5.09902,3.162278,4.0,7.28011,9.848858,12.529964,14.317821,15.231546,16.155494,15.811388,16.763055,16.492423,16.278821,16.124515,14.035669,13.0,10.049876,7.071068,3.162278,2.0,6.403124
20260624_180643,2026-06-24T18:06:43.460412+09:00,skeleton,RX1,30.675723,28.231188,25.495098,21.023796,16.124515,12.083046,8.246211,6.082763,7.071068,9.433981,12.529964,15.264338,17.204651,19.209373,21.260292,21.931712,22.022716,21.400935,19.416488,15.811388,12.806248,8.602325,6.082763,6.708204,9.899495,12.806248,14.0,13.0,11.0,8.062258,5.830952,5.385165,8.062258,10.440307,13.601471,15.297059,16.492423,16.278821,16.124515,15.0,14.0,13.0,10.0,9.055385,7.615773,6.403124,9.486833,14.142136,18.11077,23.194827,26.476405,29.614186
20260624_180643,2026-06-24T18:06:43.496461+09:00,skeleton,RX2,19.416488,17.262677,15.297059,13.341664,11.7047,10.29563,10.0,10.630146,11.401754,12.206556,12.806248,13.453624,14.142136,14.866069,15.0,14.422205,13.601471,12.206556,10.630146,8.602325,8.246211,9.219544,12.083046,14.764823,16.124515,17.888544,6.082763,4.472136,5.385165,8.246211,12.041595,15.033296,17.117243,19.235384,19.646883,18.973666,18.384776,16.552945,14.422205,12.806248,10.630146,7.81025,6.403124,5.385165,4.0,6.324555,8.062258,10.29563,13.416408,15.652476,18.384776,18.973666
20260624_180643,2026-06-24T18:06:43.522994+09:00,skeleton,RX3,20.518285,17.691806,13.453624,9.219544,5.0,2.0,4.123106,7.071068,10.0,12.041595,14.142136,16.278821,17.262677,18.681542,18.681542,18.681542,17.720045,16.492423,14.317821,11.045361,8.246211,6.403124,7.28011,9.055385,11.401754,13.0,9.219544,12.083046,14.764823,18.867962,20.248457,22.203603,22.203603,21.633308,20.248457,18.867962,15.264338,12.529964,9.848858,6.708204,3.605551,3.0,6.082763,8.246211,11.401754,14.866069,18.384776,20.59126,21.954498,23.600847,23.430749
20260624_180643,2026-06-24T18:06:43.550615+09:00,skeleton,RX1,5.830952,9.219544,13.152946,14.035669,16.03122,17.117243,17.262677,15.524175,15.811388,13.0,12.083046,9.848858,7.615773,6.082763,4.123106,4.242641,7.615773,10.198039,13.152946,15.132746,17.262677,18.439089,18.439089,17.720045,15.811388,13.0,7.211103,8.944272,11.18034,13.416408,13.892444,13.892444,13.416408,11.661904,10.29563,7.615773,6.082763,5.09902,4.242641,5.0,7.615773,8.544004,10.440307,12.649111,13.928388,15.231546,15.652476,16.124515,14.764823,12.529964,10.29563,7.071068
20260624_180643,2026-06-24T18:06:43.582509+09:00,skeleton,RX2,18.35756,17.0,14.317821,12.369317,11.0,11.401754,12.083046,13.892444,14.764823,16.552945,17.464249,18.384776,18.681542,19.416488,18.11077,17.029386,16.0,13.0,9.0,5.385165,4.123106,8.246211,12.083046,15.652476,18.788294,20.615528,5.385165,5.385165,8.062258,12.649111,16.155494,19.313208,22.135944,23.086793,23.769729,22.561028,20.396078,18.248288,16.124515,13.038405,11.045361,9.219544,7.615773,7.071068,8.062258,9.486833,12.649111,15.811388,18.027756,19.313208,21.023796,21.470911
20260624_180643,2026-06-24T18:06:43.610915+09:00,skeleton,RX3,20.124612,17.492856,13.892444,8.944272,5.385165,3.162278,4.123106,7.0,10.049876,12.041595,13.0,15.0,16.03122,16.03122,17.117243,16.124515,16.124515,14.035669,11.0,8.062258,5.830952,5.385165,7.28011,8.944272,11.661904,12.806248,8.485281,10.816654,14.764823,17.888544,20.124612,21.931712,21.931712,21.023796,19.235384,17.888544,14.764823,11.661904,8.944272,6.708204,3.0,2.828427,5.0,7.0,10.049876,13.0,16.03122,19.104973,21.377558,23.537205,24.041631,23.4094
20260624_180643,2026-06-24T18:06:43.640634+09:00,skeleton,RX1,7.28011,9.0,12.165525,14.142136,16.278821,16.124515,16.03122,15.0,15.033296,13.152946,11.18034,9.219544,7.28011,5.0,3.162278,4.123106,6.0,9.219544,11.401754,14.317821,15.297059,16.278821,16.124515,15.0,14.0,11.045361,7.28011,9.219544,11.18034,13.152946,14.142136,14.317821,13.152946,12.165525,10.049876,8.0,6.082763,5.0,5.830952,6.082763,8.062258,10.0,12.0,14.035669,15.033296,16.03122,16.124515,16.278821,15.297059,13.152946,11.045361,8.062258
20260624_180643,2026-06-24T18:06:43.670773+09:00,skeleton,RX2,18.384776,16.155494,13.416408,10.816654,8.062258,8.246211,9.055385,11.401754,13.601471,14.56022,16.278821,17.117243,18.027756,18.0,18.027756,17.117243,16.124515,13.152946,10.049876,6.082763,4.472136,7.28011,12.083046,15.231546,18.788294,20.615528,5.0,5.0,8.602325,12.727922,16.970563,19.104973,21.931712,23.345235,22.627417,22.022716,19.209373,17.204651,14.422205,11.661904,9.433981,7.211103,5.0,4.0,5.385165,7.81025,11.401754,14.21267,18.027756,19.723083,21.023796,21.540659
