experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_211954,2026-06-24T21:19:54.595931+09:00,skeleton,RX1,3.0,3.0,6.708204,10.0,12.806248,15.0,15.811388,16.643317,16.124515,16.155494,14.866069,13.601471,12.165525,10.198039,8.062258,5.09902,2.0,2.0,6.0,10.049876,14.035669,17.117243,19.104973,19.235384,19.235384,17.262677,11.401754,14.142136,16.970563,17.691806,17.804494,17.204651,16.643317,13.892444,11.18034,9.486833,7.071068,5.09902,5.0,5.830952,7.615773,9.486833,11.401754,13.341664,14.56022,16.763055,18.027756,18.973666,18.384776,17.464249,15.231546,10.77033
20260624_211954,2026-06-24T21:19:54.626056+09:00,skeleton,RX2,12.083046,14.317821,16.552945,17.0,17.0,15.811388,15.0,13.453624,11.313708,9.219544,7.071068,5.656854,3.605551,2.236068,4.472136,7.28011,10.440307,13.341664,15.524175,17.720045,19.924859,19.924859,19.924859,17.720045,14.56022,11.401754,10.198039,11.401754,12.369317,11.401754,10.440307,8.246211,5.830952,4.242641,3.0,4.472136,6.403124,8.485281,10.630146,11.401754,12.806248,13.453624,14.142136,14.21267,14.866069,13.601471,12.806248,10.630146,7.81025,5.830952,4.123106,6.403124
20260624_211954,2026-06-24T21:19:54.655936+09:00,skeleton,RX3,13.038405,15.0,17.204651,17.204651,17.204651,15.811388,14.422205,12.806248,10.0,8.485281,7.071068,4.472136,4.0,4.242641,6.708204,9.486833,12.369317,15.524175,17.720045,20.248457,21.540659,21.931712,21.023796,18.35756,16.124515,13.416408,13.416408,13.892444,13.038405,12.206556,10.630146,8.485281,5.656854,3.162278,2.236068,5.0,7.0,9.0,10.0,12.0,12.0,13.038405,13.038405,13.038405,13.038405,12.041595,11.045361,9.0,6.0,3.605551,4.0,6.708204
20260624_211954,2026-06-24T21:19:54.686358+09:00,skeleton,RX1,2.236068,2.236068,6.708204,9.848858,12.083046,14.317821,14.866069,15.524175,15.524175,15.132746,14.142136,13.038405,11.0,10.0,8.062258,5.0,2.0,2.828427,5.830952,9.848858,13.0,15.231546,17.464249,18.384776,17.888544,16.552945,12.165525,14.56022,16.155494,17.464249,17.888544,17.0,15.652476,13.892444,10.816654,9.219544,6.403124,4.472136,4.123106,4.472136,6.403124,7.81025,10.0,11.401754,13.601471,15.620499,16.278821,16.278821,16.970563,15.556349,13.453624,9.899495
20260624_211954,2026-06-24T21:19:54.716067+09:00,skeleton,RX2,19.849433,17.029386,12.806248,8.602325,6.082763,4.472136,6.403124,8.944272,11.18034,13.416408,14.422205,15.811388,17.029386,17.691806,18.439089,17.804494,17.204651,15.0,12.806248,9.899495,6.708204,6.082763,8.485281,11.661904,15.231546,17.088007,3.162278,3.605551,5.656854,8.602325,11.661904,13.038405,15.264338,15.811388,15.811388,16.401219,15.0,12.806248,11.401754,8.602325,6.403124,4.123106,3.605551,5.0,7.615773,10.77033,14.866069,18.384776,20.615528,22.36068,23.323808,23.853721
20260624_211954,2026-06-24T21:19:54.746036+09:00,skeleton,RX3,18.384776,15.231546,11.18034,6.403124,4.472136,4.472136,7.81025,10.29563,12.529964,14.764823,16.124515,17.492856,18.35756,18.867962,19.723083,18.867962,18.027756,16.643317,13.892444,10.440307,9.0,8.944272,11.313708,15.0,17.204651,18.601075,1.414214,4.123106,7.615773,11.18034,14.317821,17.088007,18.681542,19.235384,19.104973,18.0,16.03122,14.142136,11.045361,8.062258,5.0,2.236068,2.236068,5.0,7.81025,12.041595,15.620499,19.209373,21.633308,23.323808,25.059928,23.706539
20260624_211954,2026-06-24T21:19:54.778306+09:00,skeleton,RX1,26.07681,26.172505,24.33105,21.377558,18.439089,14.56022,10.77033,6.708204,3.605551,1.0,3.605551,7.211103,9.219544,12.727922,15.556349,17.691806,20.615528,21.400935,21.400935,20.0,18.027756,14.422205,10.29563,6.708204,2.236068,3.162278,14.0,12.165525,10.440307,7.81025,7.615773,8.062258,9.848858,12.206556,13.453624,15.556349,15.556349,15.556349,14.866069,14.142136,13.453624,12.041595,10.630146,7.81025,5.656854,3.162278,2.828427,6.324555,11.045361,15.033296,19.026298,23.086793
20260624_211954,2026-06-24T21:19:54.807843+09:00,skeleton,RX2,13.0,15.231546,16.552945,17.888544,18.35756,16.643317,15.811388,13.601471,10.630146,9.219544,7.81025,5.830952,4.123106,3.605551,5.0,8.062258,11.18034,14.317821,17.464249,19.697716,21.023796,22.36068,21.023796,18.788294,16.552945,13.0,11.18034,12.165525,12.165525,12.165525,11.18034,9.055385,7.28011,4.472136,3.605551,3.162278,5.0,7.071068,9.219544,10.0,11.313708,12.041595,12.727922,12.727922,13.453624,12.041595,11.401754,9.219544,7.071068,5.385165,4.123106,6.403124
20260624_211954,2026-06-24T21:19:54.837653+09:00,skeleton,RX3,13.601471,16.155494,18.027756,18.027756,17.464249,16.155494,15.231546,13.0,10.440307,8.062258,7.0,5.09902,4.242641,5.09902,8.062258,10.440307,13.601471,16.763055,18.681542,20.615528,22.561028,22.36068,21.377558,19.235384,17.262677,13.341664,14.142136,15.0,14.0,14.142136,12.165525,9.219544,6.082763,3.0,2.0,4.472136,7.211103,8.602325,10.816654,11.661904,13.038405,13.416408,13.416408,13.416408,13.416408,12.083046,10.77033,8.944272,5.830952,3.162278,4.242641,7.615773
20260624_211954,2026-06-24T21:19:54.866005+09:00,skeleton,RX1,26.172505,25.079872,24.083189,21.023796,18.0,15.033296,11.045361,7.071068,4.472136,1.414214,2.0,5.09902,7.28011,10.77033,13.0,15.652476,17.0,19.235384,19.235384,18.35756,16.124515,13.038405,10.0,5.656854,3.0,3.162278,13.0,11.401754,9.0,6.324555,5.830952,7.071068,9.848858,10.816654,12.806248,14.21267,14.866069,14.866069,13.453624,13.453624,12.041595,10.630146,9.219544,6.403124,4.242641,2.236068,3.162278,7.071068,11.045361,15.033296,19.104973,22.090722
